name,current_players,peak_players,hours_played,date_time
Counter-Strike: Global Offensive,501164,1133610,475947949,2023-01-09 18:53:51.674797
Dota 2,283245,772938,341563544,2023-01-09 18:53:51.674797
Lost Ark,177524,346761,202640330,2023-01-09 18:53:51.674797
Apex Legends,105885,369532,125101500,2023-01-09 18:53:51.674797
Call of Duty®: Modern Warfare® II | Warzone™ 2.0,102985,307775,111908794,2023-01-09 18:53:51.674797
Rust,97193,176710,66316654,2023-01-09 18:53:51.674797
Team Fortress 2,87204,140022,76588959,2023-01-09 18:53:51.674797
PUBG: BATTLEGROUNDS,83918,469905,154447685,2023-01-09 18:53:51.674797
Destiny 2,72258,109507,48353169,2023-01-09 18:53:51.674797
Grand Theft Auto V,69610,180121,81783133,2023-01-09 18:53:51.674797
ELDEN RING,68028,106913,40304585,2023-01-09 18:53:51.674797
Wallpaper Engine,62406,134459,60260527,2023-01-09 18:53:51.674797
Unturned,59249,99082,39819117,2023-01-09 18:53:51.674797
Valheim,55918,127172,44399584,2023-01-09 18:53:51.674797
ARK: Survival Evolved,51807,94570,42198154,2023-01-09 18:53:51.674797
EA SPORTS™ FIFA 23,46047,109382,43254929,2023-01-09 18:53:51.674797
Tom Clancy's Rainbow Six Siege,43997,66780,30975340,2023-01-09 18:53:51.674797
Sid Meier's Civilization VI,43765,79237,35498187,2023-01-09 18:53:51.674797
Stardew Valley,43057,59095,24903820,2023-01-09 18:53:51.674797
PAYDAY 2,42296,72662,27739709,2023-01-09 18:53:51.674797
War Thunder,37922,87344,38721447,2023-01-09 18:53:51.674797
Terraria,36243,61425,28012882,2023-01-09 18:53:51.674797
New World,33937,64919,27462191,2023-01-09 18:53:51.674797
Project Zomboid,33460,52625,23025984,2023-01-09 18:53:51.674797
Warframe,32562,54602,26923630,2023-01-09 18:53:51.674797
